Station,Year,Month,Day,Rainfall
10120,2007,9,23,0
10120,2007,9,24,7
10120,2007,9,25,5
10120,2007,9,26,3
10120,2007,9,27,0
10120,2007,9,28,7
10120,2007,9,29,0
10120,2007,9,30,0
10120,2007,10,1,0
10120,2007,10,2,0
10120,2007,10,3,17
10120,2007,10,4,0
10120,2007,10,5,0
10120,2007,10,6,0
10120,2007,10,7,0
10120,2007,10,8,0
10120,2007,10,9,5
10120,2007,10,10,18
10120,2007,10,11,0
10120,2007,10,12,0
10120,2007,10,13,0
10120,2007,10,14,0
10120,2007,10,15,0
10120,2007,10,16,11
10120,2007,10,17,0
10120,2007,10,18,0
10120,2007,10,19,0
10120,2007,10,20,0
10120,2007,10,21,0
10120,2007,10,22,0
10120,2007,10,23,0
10120,2007,10,24,0
10120,2007,10,25,0
10120,2007,10,26,0
10120,2007,10,27,0
10120,2007,10,28,0
10120,2007,10,29,0
10120,2007,10,30,0
10120,2007,10,31,0
10120,2007,11,1,0
10120,2007,11,2,0
10120,2007,11,3,0
10120,2007,11,4,0
10120,2007,11,5,0
10120,2007,11,6,0
10120,2007,11,7,0
10120,2007,11,8,0
10120,2007,11,9,0
10120,2007,11,10,0
10120,2007,11,11,0
10120,2007,11,12,0
10120,2007,11,13,0
10120,2007,11,14,0
10120,2007,11,15,0
10120,2007,11,16,0
10120,2007,11,17,0
10120,2007,11,18,0
10120,2007,11,19,0
10120,2007,11,20,0
10120,2007,11,21,0
10120,2007,11,22,0
10120,2007,11,23,0
10120,2007,11,24,0
10120,2007,11,25,0
10120,2007,11,26,0
10120,2007,11,27,0
10120,2007,11,28,0
10120,2007,11,29,0
10120,2007,11,30,0
10120,2007,12,1,0
10120,2007,12,2,0
10120,2007,12,3,0
10120,2007,12,4,0
10120,2007,12,5,0
10120,2007,12,6,0
10120,2007,12,7,0
10120,2007,12,8,0
10120,2007,12,9,0
10120,2007,12,10,0
10120,2007,12,11,0
10120,2007,12,12,0
10120,2007,12,13,0
10120,2007,12,14,0
10120,2007,12,15,0
10120,2007,12,16,0
10120,2007,12,17,0
10120,2007,12,18,0
10120,2007,12,19,0
10120,2007,12,20,0
10120,2007,12,21,0
10120,2007,12,22,0
10120,2007,12,23,0
10120,2007,12,24,0
10120,2007,12,25,0
10120,2007,12,26,0
10120,2007,12,27,0
10120,2007,12,28,0
10120,2007,12,29,0
10120,2007,12,30,0
10120,2007,12,31,0
10120,2008,1,1,0
10120,2008,1,2,0
10120,2008,1,3,0
10120,2008,1,4,0
10120,2008,1,5,0
10120,2008,1,6,0
10120,2008,1,7,0
10120,2008,1,8,0
10120,2008,1,9,0
10120,2008,1,10,0
10120,2008,1,11,0
10120,2008,1,12,0
10120,2008,1,13,0
10120,2008,1,14,0
10120,2008,1,15,0
10120,2008,1,16,0
10120,2008,1,17,0
10120,2008,1,18,0
10120,2008,1,19,0
10120,2008,1,20,0
10120,2008,1,21,0
10120,2008,1,22,0
10120,2008,1,23,0
10120,2008,1,24,26
10120,2008,1,25,0
10120,2008,1,26,0
10120,2008,1,27,1
10120,2008,1,28,0
10120,2008,1,29,0
10120,2008,1,30,1
10120,2008,1,31,5
10120,2008,2,1,0
10120,2008,2,2,0
10120,2008,2,3,0
10120,2008,2,4,0
10120,2008,2,5,0
10120,2008,2,6,0
10120,2008,2,7,0
10120,2008,2,8,0
10120,2008,2,9,1
10120,2008,2,10,0
10120,2008,2,11,0
10120,2008,2,12,0
10120,2008,2,13,0
10120,2008,2,14,0
10120,2008,2,15,0
10120,2008,2,16,0
10120,2008,2,17,0
10120,2008,2,18,0
10120,2008,2,19,0
10120,2008,2,20,0
10120,2008,2,21,0
10120,2008,2,22,0
10120,2008,2,23,0
10120,2008,2,24,0
10120,2008,2,25,0
10120,2008,2,26,0
10120,2008,2,27,0
10120,2008,2,28,0
10120,2008,2,29,0
10120,2008,3,1,0
10120,2008,3,2,0
10120,2008,3,3,0
10120,2008,3,4,10
10120,2008,3,5,9
10120,2008,3,6,0
10120,2008,3,7,0
10120,2008,3,8,0
10120,2008,3,9,0
10120,2008,3,10,0
10120,2008,3,11,0
10120,2008,3,12,0
10120,2008,3,13,0
10120,2008,3,14,0
10120,2008,3,15,0
10120,2008,3,16,0
10120,2008,3,17,0
10120,2008,3,18,0
10120,2008,3,19,0
10120,2008,3,20,0
10120,2008,3,21,0
10120,2008,3,22,0
10120,2008,3,23,0
10120,2008,3,24,0
10120,2008,3,25,0
10120,2008,3,26,0
10120,2008,3,27,0
10120,2008,3,28,0
10120,2008,3,29,0
10120,2008,3,30,0
10120,2008,3,31,0
10120,2008,4,1,0
10120,2008,4,2,13
10120,2008,4,3,8
10120,2008,4,4,1
10120,2008,4,5,0
10120,2008,4,6,0
10120,2008,4,7,0
10120,2008,4,8,0
10120,2008,4,9,0
10120,2008,4,10,0
10120,2008,4,11,0
10120,2008,4,12,0
10120,2008,4,13,2
10120,2008,4,14,0
10120,2008,4,15,0
10120,2008,4,16,0
10120,2008,4,17,1
10120,2008,4,18,2
10120,2008,4,19,0
10120,2008,4,20,0
10120,2008,4,21,0
10120,2008,4,22,0
10120,2008,4,23,0
10120,2008,4,24,0
10120,2008,4,25,0
10120,2008,4,26,0
10120,2008,4,27,0
10120,2008,4,28,0
10120,2008,4,29,0
10120,2008,4,30,0
10120,2008,5,1,8
10120,2008,5,2,3
10120,2008,5,3,14
10120,2008,5,4,0
10120,2008,5,5,1
10120,2008,5,6,33
10120,2008,5,7,0
10120,2008,5,8,2
10120,2008,5,9,1
10120,2008,5,10,5
10120,2008,5,11,0
10120,2008,5,12,1
10120,2008,5,13,0
10120,2008,5,14,1
10120,2008,5,15,0
10120,2008,5,16,4
10120,2008,5,17,14
10120,2008,5,18,7
10120,2008,5,19,3
10120,2008,5,20,51
10120,2008,5,21,0
10120,2008,5,22,9
10120,2008,5,23,3
10120,2008,5,24,0
10120,2008,5,25,16
10120,2008,5,26,0
10120,2008,5,27,21
10120,2008,5,28,0
10120,2008,5,29,0
10120,2008,5,30,0
10120,2008,5,31,23
10120,2008,6,1,0
10120,2008,6,2,42
10120,2008,6,3,26
10120,2008,6,4,0
10120,2008,6,5,32
10120,2008,6,6,0
10120,2008,6,7,19
10120,2008,6,8,15
10120,2008,6,9,8
10120,2008,6,10,21
10120,2008,6,11,17
10120,2008,6,12,1
10120,2008,6,13,0
10120,2008,6,14,84
10120,2008,6,15,21
10120,2008,6,16,0
10120,2008,6,17,0
10120,2008,6,18,4
10120,2008,6,19,15
10120,2008,6,20,19
10120,2008,6,21,9
10120,2008,6,22,2
10120,2008,6,23,0
10120,2008,6,24,0
10120,2008,6,25,3
10120,2008,6,26,0
10120,2008,6,27,0
10120,2008,6,28,0
10120,2008,6,29,21
10120,2008,6,30,4
10120,2008,7,1,2
10120,2008,7,2,20
10120,2008,7,3,69
10120,2008,7,4,0
10120,2008,7,5,47
10120,2008,7,6,54
10120,2008,7,7,0
10120,2008,7,8,0
10120,2008,7,9,1
10120,2008,7,10,6
10120,2008,7,11,0
10120,2008,7,12,37
10120,2008,7,13,8
10120,2008,7,14,28
10120,2008,7,15,39
10120,2008,7,16,11
10120,2008,7,17,47
10120,2008,7,18,1
10120,2008,7,19,2
10120,2008,7,20,5
10120,2008,7,21,10
10120,2008,7,22,2
10120,2008,7,23,26
10120,2008,7,24,12
10120,2008,7,25,0
10120,2008,7,26,7
10120,2008,7,27,0
10120,2008,7,28,2
10120,2008,7,29,1
10120,2008,7,30,0
10120,2008,7,31,0
10120,2008,8,1,0
10120,2008,8,2,0
10120,2008,8,3,47
10120,2008,8,4,16
10120,2008,8,5,1
10120,2008,8,6,16
10120,2008,8,7,10
10120,2008,8,8,28
10120,2008,8,9,0
10120,2008,8,10,12
10120,2008,8,11,9
10120,2008,8,12,7
10120,2008,8,13,28
10120,2008,8,14,0
10120,2008,8,15,0
10120,2008,8,16,0
10120,2008,8,17,31
10120,2008,8,18,0
10120,2008,8,19,41
10120,2008,8,20,92
10120,2008,8,21,1
10120,2008,8,22,0
10120,2008,8,23,0
10120,2008,8,24,0
10120,2008,8,25,0
10120,2008,8,26,0
10120,2008,8,27,0
10120,2008,8,28,15
10120,2008,8,29,11
10120,2008,8,30,18
10120,2008,8,31,2
10120,2008,9,1,0
10120,2008,9,2,0
10120,2008,9,3,29
10120,2008,9,4,0
10120,2008,9,5,59
10120,2008,9,6,1
10120,2008,9,7,0
10120,2008,9,8,0
10120,2008,9,9,0
10120,2008,9,10,0
10120,2008,9,11,0
10120,2008,9,12,0
10120,2008,9,13,0
10120,2008,9,14,0
10120,2008,9,15,0
10120,2008,9,16,0
10120,2008,9,17,2
10120,2008,9,18,12
10120,2008,9,19,2
10120,2008,9,20,0
10120,2008,9,21,0
10120,2008,9,22,23
10120,2008,9,23,0
10120,2008,9,24,0
10120,2008,9,25,0
10120,2008,9,26,0
10120,2008,9,27,0
10120,2008,9,28,72
10120,2008,9,29,39
10120,2008,9,30,3
10120,2008,10,1,0
10120,2008,10,2,0
10120,2008,10,3,0
10120,2008,10,4,0
10120,2008,10,5,2
10120,2008,10,6,0
10120,2008,10,7,0
10120,2008,10,8,37
10120,2008,10,9,0
10120,2008,10,10,0
10120,2008,10,11,0
10120,2008,10,12,0
10120,2008,10,13,0
10120,2008,10,14,0
10120,2008,10,15,0
10120,2008,10,16,0
10120,2008,10,17,0
10120,2008,10,18,0
10120,2008,10,19,0
10120,2008,10,20,0
10120,2008,10,21,0
10120,2008,10,22,0
10120,2008,10,23,0
10120,2008,10,24,0
10120,2008,10,25,0
10120,2008,10,26,0
10120,2008,10,27,2
10120,2008,10,28,4
10120,2008,10,29,0
10120,2008,10,30,0
10120,2008,10,31,0
10120,2008,11,1,0
10120,2008,11,2,0
10120,2008,11,3,0
10120,2008,11,4,0
10120,2008,11,5,0
10120,2008,11,6,0
10120,2008,11,7,0
10120,2008,11,8,0
10120,2008,11,9,0
10120,2008,11,10,0
10120,2008,11,11,0
10120,2008,11,12,0
10120,2008,11,13,0
10120,2008,11,14,0
10120,2008,11,15,0
10120,2008,11,16,0
10120,2008,11,17,0
10120,2008,11,18,0
10120,2008,11,19,0
10120,2008,11,20,0
10120,2008,11,21,0
10120,2008,11,22,0
10120,2008,11,23,0
10120,2008,11,24,0
10120,2008,11,25,0
10120,2008,11,26,0
10120,2008,11,27,0
10120,2008,11,28,0
10120,2008,11,29,0
10120,2008,11,30,0
10120,2008,12,1,0
10120,2008,12,2,0
10120,2008,12,3,0
10120,2008,12,4,0
10120,2008,12,5,0
10120,2008,12,6,0
10120,2008,12,7,0
10120,2008,12,8,0
10120,2008,12,9,0
10120,2008,12,10,0
10120,2008,12,11,0
10120,2008,12,12,0
10120,2008,12,13,0
10120,2008,12,14,0
10120,2008,12,15,0
10120,2008,12,16,0
10120,2008,12,17,0
10120,2008,12,18,0
10120,2008,12,19,0
10120,2008,12,20,0
10120,2008,12,21,0
10120,2008,12,22,0
10120,2008,12,23,0
10120,2008,12,24,0
10120,2008,12,25,0
10120,2008,12,26,0
10120,2008,12,27,0
10120,2008,12,28,0
10120,2008,12,29,0
10120,2008,12,30,0
