STN,Station,Local_ID
DHK,Dhaka,11111
TNG,Tangail,41909
MYM,Mymensingh,10609
FRD,Faridpur,11505
MDR,Madaripur,11513
AMB,Chattogram_ambagan,41977
CTG,Chattogram,11921
CXB,Cox'Bazar,11927
CND,Chandpur,11316
COM,Comilla,11313
FNI,Feni,11805
HTY,Hatiya,11814
KTB,Kutubdia,11925
MCT,M_Court,11809
RMT,Rangamati,12007
SND,Sandwip,11916
STN,Sitakunda,11912
TEK,Teknaf,11929
KHL,Khulna,11604
JSR,Jashore,11407
STK,Satkhira,11610
CHU,Chuadanga,41926
MNG,Mongla,41958
BSL,Barishal,11704
PTK,Patuakhali,12103
BHL,Bhola,11706
KHP,khepupara,12110
RAJ,Rajshahi,10320
BOG,Bogura,10408
ISD,Ishurdi,10910
RNP,Rangpur,10208
DNJ,Dinajpur,10120
SYD,Sayedpur,41858
SYL,Sylhet,10705
SRI,Srimangal,10724
TET,Tetulia,41850
STM,Saint Martin,41955
BDN,Bandarban,41980
DIG,Dighinala,41944
NIK,Nikli,41902
DIM,Dimla,41851
BAD,Badalgachhi,41881
RJH,Rajarhat,41856
KHL,Kumarkhali,41927
GOP,Gopalganj,41938
TAS,Tarash,41897
NET,Netrokona,41888
